FIPS,name,Year,lng,lat,PM2.5,CMR,population_2000,civil_unemploy,median_HH_inc,femaleHH_ns_pct,vacant_HHunit,owner_occ_pct,eduattain_HS,pctfam_pover
1001,Autauga,2000.0,-86.64289976,32.53514228,8.267370859611967,406.74887984127406,43671.0,4.985714285714286,41317.57142857143,13.84992106,8.518836676857143,78.94285714285714,44.542857142857144,9.09275864
1003,Baldwin,2000.0,-87.72274477,30.727824679999998,6.753970763548492,319.40634688754733,140415.0,4.514285714285714,38924.0,11.31556088,27.205473577142854,77.18571428571428,42.142857142857146,8.839652208571428
1005,Barbour,2000.0,-85.39106787,31.870090420000004,7.282906683849927,401.8751335402518,29038.0,6.1571428571428575,25788.428571428572,20.328789334285716,15.897344365714286,70.52857142857142,39.885714285714286,20.663083745714285
1009,Blount,2000.0,-86.5670064,33.98087061,9.747287423187007,372.9623494691302,51024.0,5.214285714285714,34512.142857142855,9.001046850857144,8.65935945,82.14285714285714,43.114285714285714,9.794113977142857
1011,Bullock,2000.0,-85.71572943,32.10045868,8.133035948220549,408.76390326737067,11714.0,8.342857142857142,22072.714285714286,30.05680573142857,15.771883611428573,72.18571428571428,39.542857142857144,28.199408282857142
1013,Butler,2000.0,-86.68040924,31.75252432,7.0184015596343245,461.16083169905886,21399.0,8.914285714285715,23971.285714285714,19.779644388571427,13.603553050857142,73.57142857142857,40.92857142857143,21.39702950857143
1015,Calhoun,2000.0,-85.82574705,33.77141549,8.881381636012367,432.504711944853,112249.0,7.0285714285714285,31388.85714285714,14.901366505714284,10.518186762571428,70.81428571428572,42.91428571428572,12.996578697142857
1017,Chambers,2000.0,-85.39168915,32.91366622,7.992857223076687,432.81465307607056,36583.0,7.7714285714285705,27778.14285714286,18.978619657142854,11.911018492,74.32857142857144,39.07142857142857,14.64542956
1021,Chilton,2000.0,-86.71887934,32.84771004,7.887660705995402,401.549418075322,39593.0,6.285714285714286,31427.14285714286,11.649700600000001,13.41205791142857,80.35714285714286,43.08571428571428,13.25000991142857
1023,Choctaw,2000.0,-88.26305322,32.02019311,6.687406572132069,400.7587341279447,15922.0,9.214285714285714,24375.571428571428,16.87638037714286,17.95667361142857,84.92857142857143,41.614285714285714,19.72974292285714
1025,Clarke,2000.0,-87.83077181,31.67695451,6.766443101534225,379.42171250781763,27867.0,7.285714285714286,25025.14285714286,17.30619736285714,15.73180424,79.65714285714286,45.41428571428572,19.35352024
1027,Clay,2000.0,-85.8607443,33.26966941,7.812340796113524,389.5849503477528,14254.0,6.5,27621.285714285714,11.884833194285715,13.225188505714286,76.17142857142856,42.65714285714286,14.808959482857144
1031,Coffee,2000.0,-85.98828821,31.401883960000003,7.6109853990439245,366.394535653042,43615.0,5.342857142857143,33329.71428571428,12.918841831428571,11.250232181714285,70.14285714285714,38.48571428571429,12.207918700000002
1033,Colbert,2000.0,-87.80463371,34.70085284,8.783553259227968,394.9406792254188,54984.0,5.7,31405.428571428572,13.385525994285713,9.890636870857142,74.75714285714287,42.957142857142856,11.401244268571428
1039,Covington,2000.0,-86.45142629,31.248610049999996,7.429283276725429,379.8735699220839,37631.0,6.571428571428571,26214.285714285714,13.029370685714287,14.833788388571428,76.04285714285714,41.171428571428564,15.255122242857142
1043,Cullman,2000.0,-86.86718877,34.13183982,9.749961083707674,399.4981941319976,77483.0,5.328571428571428,31035.14285714286,9.702761737142858,12.269436960857144,77.08571428571429,40.114285714285714,11.174874874285715
1045,Dale,2000.0,-85.611081,31.432043630000003,7.686456378730412,359.5541474718176,49129.0,5.6,32983.142857142855,14.396923011428571,11.717585132,62.55714285714286,42.2,11.777615862857143
1047,Dallas,2000.0,-87.10649231,32.32606741,7.3766968076221655,444.51145492707224,46365.0,10.257142857142858,22164.85714285714,27.931218465714284,12.961272174285714,63.75714285714286,41.885714285714286,28.427907774285718
1049,DeKalb,2000.0,-85.80378574,34.46023769,9.405452640707514,441.449131104864,64452.0,5.928571428571429,28687.285714285714,10.796035788571428,10.869243895428571,77.55714285714286,39.37142857142857,13.642966228571428
1051,Elmore,2000.0,-86.14884036,32.59724126,8.13317453371765,376.0402800380084,65874.0,5.328571428571429,40381.0,12.97142857142857,13.116419377142858,79.87142857142857,43.542857142857144,8.938983014285714
1053,Escambia,2000.0,-87.16176056,31.12613571,7.643015691177117,391.43332266371493,38440.0,6.9714285714285715,26536.428571428572,16.947051045714286,12.756876168571429,75.61428571428571,42.07142857142857,18.64160191142857
1055,Etowah,2000.0,-86.03476854,34.04518886,9.239046303737448,432.45682720407126,103459.0,7.514285714285713,30140.285714285714,14.270828857142858,9.456369205714285,73.65714285714287,41.642857142857146,12.795489642857143
1059,Franklin,2000.0,-87.843283,34.44238135,8.04525124681574,452.84916927112465,31223.0,6.942857142857143,26461.285714285714,11.383621474285714,10.409184020285714,73.24285714285713,38.01428571428572,15.68274710285714
1061,Geneva,2000.0,-85.83932953,31.094869049999996,8.254271643467296,378.52469755293464,25764.0,5.514285714285714,26811.14285714286,12.30301518,13.007636602857144,78.22857142857143,40.25714285714285,15.154618574285713
1065,Hale,2000.0,-87.62930576,32.7625948,7.32431175120373,461.9878736934398,17185.0,7.9714285714285715,23576.428571428572,23.419066748571428,16.949921505714286,79.0,40.7,23.878365725714286
1067,Henry,2000.0,-85.24094152,31.51487991,7.536635459655393,384.7009914189049,16310.0,6.0,30296.714285714286,15.623544974285712,19.354227405714283,79.47142857142858,40.01428571428571,14.246855554285714
