"","FIPS","SES_index_1990","SES_index_2000","SES_index_2010","SES_quintile_1990","SES_quintile_2000","SES_quintile_2010"
"1","01001",-0.0793867062847197,-0.322846405922319,-0.40515018825596,"Q3","Q3","Q2"
"2","01003",-0.187240435738167,-0.467793835634631,-0.403986544813558,"Q3","Q2","Q2"
"3","01005",1.27953763219056,2.01375122223103,1.74014194487239,"Q5","Q5","Q5"
"4","01009",0.124420796232341,-0.375180590791751,-0.405849215183917,"Q4","Q3","Q2"
"5","01011",2.87725561177197,3.5196805281424,2.61707426863233,"Q5","Q5","Q5"
"6","01013",1.92215322666758,1.85874678187315,1.68043761761208,"Q5","Q5","Q5"
"7","01015",0.103710783972741,0.448459780124647,0.913785021668598,"Q4","Q4","Q5"
"8","01017",0.660426253411814,0.829457267118739,1.44349229918163,"Q4","Q5","Q5"
"9","01021",0.49220076624365,0.316737602661906,0.340981919582613,"Q4","Q4","Q4"
"10","01023",1.80214557186524,1.77437530753257,0.742903587940107,"Q5","Q5","Q5"
"11","01025",1.15296012180215,1.36164418089276,1.58371666310163,"Q5","Q5","Q5"
"12","01027",0.618304506756375,0.401769600715252,0.96109452226068,"Q4","Q4","Q5"
"13","01031",0.0347856811595426,0.271532922189609,0.508331561076718,"Q3","Q4","Q4"
"14","01033",0.144999615144378,0.167110940566192,0.274083604509746,"Q4","Q4","Q4"
"15","01039",0.867390938937844,0.671980349232524,0.644905043069033,"Q5","Q5","Q4"
"16","01043",0.249591469573562,-0.168357943996026,0.079626205141277,"Q4","Q3","Q4"
"17","01045",-0.183086022433981,0.548108442624935,0.386267499295882,"Q3","Q4","Q4"
"18","01047",2.50668085352429,3.14220109051506,3.39960304547821,"Q5","Q5","Q5"
"19","01049",0.607677801359708,0.214305495849429,0.526607241580131,"Q4","Q4","Q4"
"20","01051",-0.0306954476200694,-0.479824636040084,-0.248326745411045,"Q3","Q2","Q3"
"21","01053",1.36480377509743,0.896117452297271,1.60007725127516,"Q5","Q5","Q5"
"22","01055",0.426630319464154,0.411849327991802,0.551982476684741,"Q4","Q4","Q4"
"23","01059",0.9735369982502,0.836726476957785,0.571226514708726,"Q5","Q5","Q4"
"24","01061",0.654965087512506,0.959012029358725,0.388265450391587,"Q4","Q5","Q4"
"25","01065",2.31179539943401,2.14490520854517,2.14619697554674,"Q5","Q5","Q5"
"26","01067",0.452627828760603,0.787824483370522,0.651461123378517,"Q4","Q5","Q4"
"27","01069",0.0897292680217986,0.373498622584844,0.571805792315325,"Q3","Q4","Q4"
"28","01071",0.370539872000742,-0.00272343655934225,0.267055936601444,"Q4","Q3","Q4"
"29","01073",0.0494094892902791,0.444806602798422,0.681741549331559,"Q3","Q4","Q5"
"30","01075",0.630823969782766,0.498820601366107,0.25982765829116,"Q4","Q4","Q4"
"31","01077",0.00608076181651918,0.0585059502478973,0.332626421505422,"Q3","Q4","Q4"
"32","01079",0.759685758900339,0.41560139072878,-0.0854308451529882,"Q5","Q4","Q3"
"33","01081",0.174848334539545,0.292356363450342,0.294778253173158,"Q4","Q4","Q4"
"34","01083",-0.0501770458172698,-0.0964373734764171,-0.183285440500077,"Q3","Q3","Q3"
"35","01087",2.27629950162506,3.15945034415761,2.5467942824547,"Q5","Q5","Q5"
"36","01089",-0.818431342735987,-0.225189439995294,-0.127715033199447,"Q1","Q3","Q3"
"37","01091",1.57921148850738,2.09965648815373,1.38568386938489,"Q5","Q5","Q5"
"38","01093",0.97281387683898,0.309439577176127,0.320315210178862,"Q5","Q4","Q4"
"39","01095",0.499911038285577,0.276195981677194,0.508185056885173,"Q4","Q4","Q4"
"40","01097",0.667231280532074,1.07818408633733,1.17929094144141,"Q4","Q5","Q5"
"41","01099",1.0277854063007,1.40055076884228,1.68150110977515,"Q5","Q5","Q5"
"42","01101",0.186368895213266,0.816036520413409,1.36043468230575,"Q4","Q5","Q5"
"43","01103",-0.359502106836901,-0.042630619501827,0.121345824454717,"Q2","Q3","Q4"
"44","01105",3.19187654092563,3.79355983701921,2.95120358848418,"Q5","Q5","Q5"
"45","01109",1.27953166753176,1.59134335857779,1.62491632666498,"Q5","Q5","Q5"
"46","01111",0.807361282970305,0.413884772341638,0.629560649363287,"Q5","Q4","Q4"
"47","01113",0.942453687499265,1.30341189577929,1.94661830700075,"Q5","Q5","Q5"
"48","01115",0.147225695043921,-0.187058843065542,-0.516020162060634,"Q4","Q3","Q2"
"49","01117",-1.10282493407174,-0.99399401118233,-1.04108614120109,"Q1","Q1","Q1"
"50","01121",0.789254855178877,0.7066551905419,1.03706836363985,"Q5","Q5","Q5"
"51","01123",0.492635993708266,0.606187395110906,0.626985720889498,"Q4","Q4","Q4"
"52","01125",0.180136902133354,0.34160483211441,0.371306621801244,"Q4","Q4","Q4"
"53","01127",0.650216312923153,0.492999899028906,0.628045024963197,"Q4","Q4","Q4"
"54","01129",1.33203816573586,0.670570147131658,0.624986965355538,"Q5","Q5","Q4"
"55","01131",3.48606671121468,4.56120052859274,4.06142194046324,"Q5","Q5","Q5"
"56","01133",0.989844760950226,0.389315199261198,0.376691253808458,"Q5","Q4","Q4"
"57","04001",3.50344779915195,4.17495374177304,2.73944750260161,"Q5","Q5","Q5"
"58","04003",0.263112790624364,0.637188342083949,0.14473409144493,"Q4","Q4","Q4"
"59","04005",0.280368869850207,0.645956566990545,0.193995389866657,"Q4","Q4","Q4"
"60","04007",0.350033392581787,0.435005286499691,-0.0998545582172863,"Q4","Q4","Q3"
"61","04011",-0.400760768842255,-0.30341866136497,-0.10901870699273,"Q2","Q3","Q3"
